,Title,Employer,Location,Salary,Data Posted,Tech Stack,Description,Responsibilities,Experience,Learn More
0,Frontend Developer,Octopus Energy,Remote in London,Not Provided,22 days ago,Java C HTML React CSS,"What we do. Electric Car Leasing

Why we do it. Greener. Fairer. Future.
Transport and Energy are changing. And for big change, we need big minds.
We’re looking for someone who’s passionate about code, curious, and eager to learn. You’ll be working alongside other talented people in our product team. You’ll solve problems with technology to make us, and the industry, smarter and better for customers.


As a frontend developer, you will:
Work on new and existing apps, tools and packages across ou...","['\nWe’re looking for someone who’s passionate about code, curious, and eager to learn. You’ll be working alongside other talented people in our product team. You’ll solve problems with technology to make us, and the industry, smarter and better for customers.', 'We’re looking for someone who thrives on solving tough problems. Someone who can challenge those around them, and be challenged, while delivering delightful experiences for our internal and external customers.', ""At Octopus, we're looking for genuinely decent people who are honest and empathetic. Our commitment is to provide equal opportunities, a diverse and inclusive work environment, and fairness for everyone. You are welcome to apply no matter your age, disability, gender, marriage or civil partnership status, pregnancy and maternity status, race, religion or belief, or sexual orientation.""]","[""\nCreate performant experiences that work consistently across modern browsers and devicesInteract with internal and third-party REST and GraphQL API's"", ""Just ask us! On a call with one of our recruiters it's something we always cover as we genuinely want to match your experience with the correct salary. The reason why we don't advertise is because we honestly have a degree of flexibility and would never want salary to be a reason why someone doesn't apply to Octopus - what's more important to us is finding the right octofit!"", 'We’re looking for someone who thrives on solving tough problems. Someone who can challenge those around them, and be challenged, while delivering delightful experiences for our internal and external customers.']",https://uk.indeed.com/viewjob?jk=0d2607fd41db6e29
1,Frontend Developer,Lytt,Remote in London,Not Provided,9 days ago,React,"Description
We are looking for a Frontend Developer to help us build a single page frontend application that visualises large, complex data sets in real-time. This is an essential addition to our team; ideally you will bring full stack Typescript expertise and provide important technical contributions on key applications and projects, from concept through to delivery. You will have the freedom to build things from scratch and choose which tools to use.
You will ship often without sacrificing qua...","['\nWe are looking for a Frontend Developer to help us build a single page frontend application that visualises large, complex data sets in real-time. This is an essential addition to our team; ideally you will bring full stack Typescript expertise and provide important technical contributions on key applications and projects, from concept through to delivery. You will have the freedom to build things from scratch and choose which tools to use.', '\nWe know that sometimes people can be put off applying for a job if they think they can’t tick every box, but we realise that the ‘perfect candidate’ doesn’t exist. If you’re excited about working with us and can do most of what we are looking for, go ahead and apply. You could be exactly what we need!']","['Experience with extended web technologies such as WebGL, Web Assembly and Workers, etc.', 'Experience in start-ups with agile development environments.', 'Experience with rendering and high resolution data visualisation.']",https://uk.indeed.com/viewjob?jk=5a3b6333b09d8a63
2,Junior PHP Developer,Jarrett & Lam Lyd,Temporarily Remote in Redhill RH1,"£25,000 - £40,000 a year",30+ days ago,Java C SQL HTML CSS PHP,"Junior PHP Developer
About You

We are looking for a Junior PHP Developer that has a genuine passion for technology.
The Junior PHP Developer role opens the opportunity to learn whilst working with an experienced and growing development team.

This role will suit anyone searching to break into the tech industry and aid in developing creative in-house products.
The successful candidate will work directly with our Principal Systems Developer, learning from them whilst supporting the business and c...",['\nWe are looking for a Junior PHP Developer that has a genuine passion for technology.'],"['\nThe Junior PHP Developer role opens the opportunity to learn whilst working with an experienced and growing development team.', '\nYou hold the following skills and experiences:']",https://uk.indeed.com/viewjob?jk=401e4d6220cae026
3,"Customer Engineer, Financial Services, Google Cloud",Google,London,Not Provided,Today,C,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: London, UK; Manchester, UK.
Minimum qualifications:

Experience leading cloud transformations in enterprise financial services organizations.
Experience driving design decisions.
Experience creating designs across various cross-functional domains.
Preferred qualifications:

Experience in the technology industry or in a specialist area of technology.
Experience in advanced ...",[],"['\nExperience leading cloud transformations in enterprise financial services organizations.', 'Experience driving design decisions.', 'Experience creating designs across various cross-functional domains.', '\nExperience in the technology industry or in a specialist area of technology.\n', 'Experience in advanced areas of networking including Linux, software-defined networking, network virtualization, open protocols, application acceleration and load balancing, DNS, virtual private networks, and their application to PaaS and IaaS technologies.']",https://uk.indeed.com/viewjob?jk=cc1041fc60abb179
4,Business Intelligence VBA Developer,Lidl,Hybrid remote in London KT5,"£47,300 - £59,400 a year",9 days ago,Python C SQL,"£47,300 up to £59,400* per annum This isn’t an ordinary job. This an extraordinary experience.
Our Head Office Business Intelligence department is looking for a proactive, passionate, and analytical professional to join our team and build a career in a challenging fast paced environment.
Business Intelligence is one of the main departments in providing and supporting the executive management and operational departments with relevant indicators for targeted management of all business processes wi...","['Our Head Office Business Intelligence department is looking for a proactive, passionate, and analytical professional to join our team and build a career in a challenging fast paced environment.']","['This isn’t an ordinary job. This an extraordinary experience.\n', 'Experience in delivering VBA solutions/applications, ideally in a retail environment', '\nAdvanced knowledge of Excel and VBA, with experience in delivering end to end projects', ""This isn't getting by. This is getting what you deserve. Working at Lidl is rewarding, in every sense, because we give you the extensive training to succeed in your role and plenty of opportunities to progress your career here. We're proud to offer a competitive salary from £47,300 - £59,400* (depending on experience), with 35 days’ holiday per year (pro rata). Save for your future with our pension scheme, or save today with a 10% in store discount, plus extra discounts on days out, cinema tickets and much more."", '\nDisclaimer: due to the high volume of applications we receive, we reserve the right to close a vacancy earlier than the advertised date. This is to ensure our teams can manage application levels while maintaining a positive candidate experience. Once a vacancy has closed, we are unable to consider further applications, so please submit your application as soon as possible to avoid disappointment.']",https://uk.indeed.com/viewjob?jk=257252b002850dbd
5,Technical Consultant - Graduate Programme,Informed Solutions,London,Not Provided,30+ days ago,C,"Overview
As a Technical Consultant on our Graduate Programme you will quickly become a valued member of our agile delivery teams. Your first two years are a fast paced, journey of discovery where you’ll learn what it really takes to design, build, test and operate world class digital services that really make a difference to people’s lives. If you want to solve technical problems for some of the biggest companies in the world, or help the government work better, our Graduate Programme is made fo...",[],"['\nThe graduate programme at Informed Solutions will equip you with the necessary skills, experience and feedback needed to take ownership of your career development and successfully make the transition from a talented graduate into an exceptional professional.', 'Work on real client problems across the full development life-cycle, allowing you to experience different roles and decide where you’d like to specialise.', 'Required Skills and Experience:', '\nWe ‘walk the talk’ about investing in people, developing the skills and confidence of our staff through our outstanding InformedACADEMY talent development programme. The Company offers very competitive salaries and a flexible benefits package that includes pension, bonus scheme, paid sabbaticals and private health care. If you’re keen to broaden your horizons even further, we offer global working experience via secondments or transfer to our Australian offices in Sydney, Melbourne and Canberra.']",https://uk.indeed.com/viewjob?jk=7785aa6f95932156
6,Software Development Apprenticeship,Transport for London,Hybrid remote in London,"£21,190 a year",1 day ago,C Android React Azure,"Software Development Apprenticeship 038676
Organisation - HR
Job - Software Development L4
Position Type - Full Time
Software Development Apprenticeship
Thank you for your interest in applying for this TfL Apprenticeship Scheme.

We’d like to remind you that you must ensure you are eligible for this scheme before applying. Please read through the eligibility criteria below carefully and ensure that you are eligible before applying.

This application will also contain a series of questions to est...","['Everything we do as an organisation is to ensure that our evolving city remains future-proof for millions of Londoners. Our talented apprentices form a vital part of that vision, so it’s important that we find the best people to help us do this. We’re looking for people who are;']","['Our software teams write the computer programs which keep London moving. Learn to write professional, high-quality code using a wide range of technologies, whilst gaining experience on some of London’s largest and most familiar software systems.', 'As an apprentice, your 24-month development programme will be made up of up to 4 placement rotations. Our aim is to equip you with the range of skills and experience you need for your successful career. We also understand that everyone’s career is different, so every apprentice’s journey is unique. Here’s an idea of what yours could look like:', 'Working in a team, under the guidance of an experienced developer, you create a responsive React web application, which allows London Underground staff to view train timetable information relevant to their station. You collaborate with end users to understand their requirements and demonstrate your product, as it evolves, to get their feedback. Your team also creates a C# API, running in Microsoft’s Azure Cloud, which feeds data to the web application. Using pair programming, within a Scrum team, you’ll learn how to deliver high quality, clean code with extensive automated tests.', '\nYou’ll add new features to TfL’s websites, to improve the experience of Oyster & Contactless customers. By your third placement, you’ll be working more independently, picking up your own tasks from the team’s backlog, delivering fully tested components of software for review by your team.', 'The first placement is fixed, subsequent placements are mutually agreed to ensure you gain experience on the widest possible range of technologies, tools and teams, as this is one of TfL’s key differentiators.\n', 'Our scheme equips you with the skills and knowledge to deliver enterprise software. The experience you gain with large business critical solutions will make you stand out from the competition. You could roll-off as a Developer – Responsible for delivering discrete software stories within a Scrum team, which meet business requirements, are fully tested and meet our standards for code quality. From here you could progress to a Senior Developer and then become a Technical Lead, accountable for a team’s software design and implementation, including setting the quality standard.', 'Whilst on the scheme, we’ll support your technical development through a wide range of on-the-job practical experiences and placements. We’ll also support your professional development through a combination of classroom-led training courses, online training courses, mentoring opportunities and structured networking opportunities. You will receive one-to-one support throughout the programme from your scheme sponsor and your Line Manager. You’ll also be connected to a ‘buddy’ who will be a more experienced apprentice from the scheme.']",https://uk.indeed.com/viewjob?jk=b4d7109d33923b79
7,Software Development Internship - 2022 UK Summer Internship...,Verisk,London,Not Provided,Today,Java C AWS Spark React .NET,"Company Description
At the heart of what we do is help clients manage risk. Verisk (Nasdaq: VRSK) provides data and insights to our customers in insurance, energy and the financial services markets so they can make faster and more informed decisions.
Our global team uses AI, machine learning, automation, and other emerging technologies to collect and analyze billions of records. We provide advanced decision-support to prevent credit, lending, and cyber risks. In addition, we monitor and advise c...",['\nWhat we’re looking for'],"['\nIt’s the reason Verisk is part of the UN Global Compact sustainability initiative. It’s why we made a commitment to balancing 100 percent of our carbon emissions. It’s the aim of our “returnship” program for experienced professionals rejoining the workforce after time away. And, it’s what drives our annual Innovation Day, where we identify our next first-to-market innovations to solve our customers’ problems.', '\nYour future begins now. Verisk‘s Summer Internship Programme is designed to provide you with real work experience, professional development, and networking opportunities.', 'Eagerness to learn, take on new projects, and experience all aspects of software development', '\nExperience', 'Academic experience in various programming languages']",https://uk.indeed.com/viewjob?jk=a396a6877bcab105
8,Tech Graduate Developer,IMG Arena,London,Not Provided,4 days ago,Java C AWS HTML React Kubernetes CSS,"Job Description
Contract Summary
Headquartered in London, IMG ARENA specialises in bringing sport and the sports betting industry closer together. Our vision is to evolve and inspire the way fans engage with sport. We are driven by our passion for sport and instinct to innovate.
Our culture – like our vision – is bold, energetic, and inspiring. We believe that our team is what makes life at IMG ARENA unique. We aim to help you elevate your potential and to create an environment where you can del...",['What we’re looking for\n'],"['As a graduate associate, you will complete a total of four quarterly rotations across a variety of teams, to give you a broad range of experience and hands-on learning.\n', 'We expect you to have demonstrable experience in working with at least one programming language - this could be experience gained via your degree course or bootcamp, an internship or self-teaching and personal projects.\n']",https://uk.indeed.com/viewjob?jk=034faf5d88edb320
9,Developer Operations Apprenticeship Programme – Osterley,Sky,Osterley+1 location,Not Provided,30+ days ago,C,"Hit the ground running on this accelerated learning programme. Take a hands-on approach using agile methodologies. Work alongside experts in our DevOps team and make sure we stay ahead of the game.
Join the teams that built Sky Mobile, NOW TV and Sky Q. Create products used by millions. Take the lead on challenging and exciting projects. Collaborate with our software teams across the globe on video streaming platforms. With the support of a leading software delivery team, create high-quality, te...","['What we’re looking for', '\nOther skills we’re looking for include:']","['\nYou’ll also enjoy a brand new, action-packed, learning experience with us. We’ll help you grow into a great future leader, with the right tools and support. Our 2-year learning and development programme sits alongside your apprenticeship programme and supports you during your programme and beyond with:']",https://uk.indeed.com/viewjob?jk=c77bf13840ccd9ff
